DATE,LOANINV
1996-01-01,3418.333
1996-02-01,3432.7856
1996-03-01,3441.1693
1996-04-01,3460.8997
1996-05-01,3468.4278
1996-06-01,3482.9664
1996-07-01,3488.3344
1996-08-01,3497.8807
1996-09-01,3520.6891
1996-10-01,3549.3351
1996-11-01,3567.3056
1996-12-01,3587.724
1997-01-01,3612.4253
1997-02-01,3627.4068
1997-03-01,3658.5774
1997-04-01,3698.7889
1997-05-01,3722.6357
1997-06-01,3748.5614
1997-07-01,3773.6812
1997-08-01,3786.5126
1997-09-01,3813.9642
1997-10-01,3829.4815
1997-11-01,3863.8427
1997-12-01,3885.7567
1998-01-01,3925.4759
1998-02-01,3955.3611
1998-03-01,3996.3124
1998-04-01,4006.5869
1998-05-01,4025.1626
1998-06-01,4040.7539
1998-07-01,4053.9722
1998-08-01,4096.7051
1998-09-01,4123.6901
1998-10-01,4173.5796
1998-11-01,4228.069
1998-12-01,4238.9986
1999-01-01,4248.5322
1999-02-01,4239.3841
1999-03-01,4262.2495
1999-04-01,4276.9682
1999-05-01,4284.9562
1999-06-01,4316.7091
1999-07-01,4329.7773
1999-08-01,4352.0137
1999-09-01,4383.3398
1999-10-01,4413.573
1999-11-01,4450.168
1999-12-01,4504.7089
2000-01-01,4540.3787
2000-02-01,4562.8621
2000-03-01,4614.8735
2000-04-01,4657.8546
2000-05-01,4706.4271
2000-06-01,4745.5795
2000-07-01,4777.6828
2000-08-01,4802.572
2000-09-01,4826.1012
2000-10-01,4815.8969
2000-11-01,4829.8381
2000-12-01,4866.0013
2001-01-01,4901.7898
2001-02-01,4904.9516
2001-03-01,4913.3058
2001-04-01,4932.8755
2001-05-01,4953.8905
2001-06-01,4952.0847
2001-07-01,4950.0128
2001-08-01,4948.5697
2001-09-01,5026.953
2001-10-01,5000.0961
2001-11-01,5028.9024
2001-12-01,5065.751
2002-01-01,5045.9758
2002-02-01,5056.3192
2002-03-01,5069.223
2002-04-01,5077.3914
2002-05-01,5084.7713
2002-06-01,5115.486
2002-07-01,5138.0623
2002-08-01,5198.6032
2002-09-01,5255.9889
2002-10-01,5333.4048
2002-11-01,5394.592
2002-12-01,5456.9176
2003-01-01,5471.6427
2003-02-01,5510.9404
2003-03-01,5539.2592
2003-04-01,5585.836
2003-05-01,5648.3093
2003-06-01,5694.1611
2003-07-01,5731.3922
2003-08-01,5735.9564
2003-09-01,5730.3544
2003-10-01,5699.1368
2003-11-01,5726.4225
2003-12-01,5789.1866
2004-01-01,5818.81
2004-02-01,5903.7454
2004-03-01,5979.3076
2004-04-01,6034.3843
2004-05-01,6066.7253
2004-06-01,6107.6441
2004-07-01,6134.866
2004-08-01,6169.1464
2004-09-01,6229.3184
2004-10-01,6259.2002
2004-11-01,6300.9994
2004-12-01,6373.8954
2005-01-01,6493.3687
2005-02-01,6556.409
2005-03-01,6626.5793
2005-04-01,6660.2792
2005-05-01,6718.213
2005-06-01,6750.957
2005-07-01,6840.2261
2005-08-01,6901.8014
2005-09-01,6939.7872
2005-10-01,6971.6833
2005-11-01,6992.3019
2005-12-01,7071.1111
2006-01-01,7120.3935
2006-02-01,7171.8768
2006-03-01,7219.8035
2006-04-01,7316.221
2006-05-01,7395.5366
2006-06-01,7433.2322
2006-07-01,7476.6381
2006-08-01,7529.9008
2006-09-01,7547.0302
2006-10-01,7703.0872
2006-11-01,7750.5534
2006-12-01,7839.4873
2007-01-01,7885.6558
2007-02-01,7934.5131
2007-03-01,7892.2665
2007-04-01,7952.5097
2007-05-01,7993.9558
2007-06-01,8060.797
2007-07-01,8131.5535
2007-08-01,8237.9857
2007-09-01,8353.0754
2007-10-01,8438.4455
2007-11-01,8517.3158
2007-12-01,8573.1195
2008-01-01,8594.2533
2008-02-01,8642.5907
2008-03-01,8688.8228
2008-04-01,8700.3771
2008-05-01,8699.8474
2008-06-01,8694.7308
2008-07-01,8695.4234
2008-08-01,8687.4984
2008-09-01,8821.6986
2008-10-01,9193.0957
2008-11-01,9102.4334
2008-12-01,9031.2461
2009-01-01,9037.9219
2009-02-01,9064.627
2009-03-01,9034.1953
2009-04-01,8996.7059
2009-05-01,9042.9325
