DATE,SEAS00PLM086NEST
1996-01-01,52.5
1996-02-01,54.6
1996-03-01,57.4
1996-04-01,59.9
1996-05-01,60.2
1996-06-01,61.6
1996-07-01,51.3
1996-08-01,42.9
1996-09-01,44.2
1996-10-01,45.0
1996-11-01,48.8
1996-12-01,53.8
1997-01-01,56.3
1997-02-01,56.3
1997-03-01,56.8
1997-04-01,59.9
1997-05-01,61.1
1997-06-01,74.1
1997-07-01,64.2
1997-08-01,57.0
1997-09-01,54.8
1997-10-01,56.5
1997-11-01,59.8
1997-12-01,63.5
1998-01-01,65.9
1998-02-01,67.4
1998-03-01,68.7
1998-04-01,71.2
1998-05-01,72.0
1998-06-01,73.5
1998-07-01,65.3
1998-08-01,56.0
1998-09-01,56.3
1998-10-01,59.3
1998-11-01,62.3
1998-12-01,65.2
1999-01-01,66.7
1999-02-01,67.2
1999-03-01,69.4
1999-04-01,73.0
1999-05-01,77.2
1999-06-01,75.7
1999-07-01,65.0
1999-08-01,57.9
1999-09-01,60.8
1999-10-01,66.5
1999-11-01,71.6
1999-12-01,75.0
2000-01-01,76.9
2000-02-01,78.7
2000-03-01,80.1
2000-04-01,81.7
2000-05-01,80.3
2000-06-01,75.2
2000-07-01,69.0
2000-08-01,58.3
2000-09-01,60.6
2000-10-01,63.2
2000-11-01,65.0
2000-12-01,69.3
2001-01-01,69.7
2001-02-01,69.4
2001-03-01,72.2
2001-04-01,77.6
2001-05-01,84.7
2001-06-01,82.2
2001-07-01,68.9
2001-08-01,62.5
2001-09-01,65.4
2001-10-01,69.2
2001-11-01,70.3
2001-12-01,73.4
2002-01-01,78.4
2002-02-01,79.9
2002-03-01,82.7
2002-04-01,85.7
2002-05-01,82.8
2002-06-01,77.9
2002-07-01,66.4
2002-08-01,60.7
2002-09-01,64.1
2002-10-01,68.8
2002-11-01,69.3
2002-12-01,72.3
2003-01-01,74.1
2003-02-01,75.0
2003-03-01,77.6
2003-04-01,81.7
2003-05-01,82.5
2003-06-01,80.9
2003-07-01,69.7
2003-08-01,61.2
2003-09-01,65.5
2003-10-01,69.2
2003-11-01,72.6
2003-12-01,75.3
2004-01-01,76.4
2004-02-01,76.5
2004-03-01,77.8
2004-04-01,80.2
2004-05-01,80.1
2004-06-01,83.3
2004-07-01,70.2
2004-08-01,63.4
2004-09-01,64.4
2004-10-01,67.8
2004-11-01,71.0
2004-12-01,74.4
2005-01-01,74.9
2005-02-01,75.3
2005-03-01,77.6
2005-04-01,80.4
2005-05-01,84.9
2005-06-01,79.7
2005-07-01,72.1
2005-08-01,68.5
2005-09-01,70.7
2005-10-01,76.5
2005-11-01,77.1
2005-12-01,78.9
2006-01-01,80.8
2006-02-01,83.1
2006-03-01,84.5
2006-04-01,87.9
2006-05-01,92.2
2006-06-01,87.2
2006-07-01,78.3
2006-08-01,77.3
2006-09-01,76.8
2006-10-01,80.8
2006-11-01,82.6
2006-12-01,83.2
2007-01-01,85.3
2007-02-01,87.4
2007-03-01,89.4
2007-04-01,94.3
2007-05-01,99.4
2007-06-01,93.0
2007-07-01,80.0
2007-08-01,74.7
2007-09-01,78.4
2007-10-01,80.9
